,sin,cos
0,0.0,10.0
1,0.3141075907812829,9.995065603657316
2,0.6279051952931337,9.980267284282716
3,0.9410831331851433,9.9556196460308
4,1.2533323356430426,9.921147013144779
5,1.5643446504023086,9.876883405951379
6,1.8738131458572462,9.822872507286887
7,2.1814324139654255,9.759167619387474
8,2.486898871648548,9.68583161128631
9,2.789911060392293,9.60293685676943
10,3.090169943749474,9.510565162951535
11,3.387379202452914,9.408807689542254
12,3.6812455268467796,9.297764858882513
13,3.971478906347806,9.177546256839811
14,4.257792915650727,9.048270524660195
15,4.539904997395468,8.910065241883679
16,4.817536741017153,8.763066800438637
17,5.090414157503713,8.607420270039437
18,5.358267949789966,8.443279255020151
19,5.620833778521305,8.270805742745619
20,5.877852522924732,8.090169943749475
21,6.129070536529765,7.901550123756904
22,6.3742398974868975,7.705132427757891
23,6.613118653236518,7.501110696304596
24,6.845471059286887,7.289686274214116
25,7.0710678118654755,7.071067811865475
26,7.289686274214116,6.845471059286886
27,7.501110696304596,6.613118653236518
28,7.705132427757892,6.374239897486897
29,7.901550123756904,6.129070536529765
30,8.090169943749475,5.87785252292473
31,8.270805742745619,5.620833778521305
32,8.443279255020151,5.3582679497899655
33,8.607420270039437,5.090414157503712
34,8.763066800438637,4.817536741017151
35,8.910065241883679,4.539904997395468
36,9.048270524660197,4.257792915650727
37,9.177546256839811,3.9714789063478055
38,9.297764858882514,3.6812455268467787
39,9.408807689542256,3.3873792024529124
40,9.510565162951535,3.0901699437494745
41,9.60293685676943,2.789911060392293
42,9.68583161128631,2.486898871648547
43,9.759167619387474,2.1814324139654246
44,9.822872507286887,1.8738131458572451
45,9.876883405951379,1.564344650402307
46,9.921147013144779,1.2533323356430426
47,9.9556196460308,0.9410831331851428
48,9.980267284282716,0.627905195293133
49,9.995065603657316,0.31410759078128175
50,10.0,-1.6081226496766366e-15
51,9.995065603657316,-0.3141075907812828
52,9.980267284282716,-0.627905195293134
53,9.9556196460308,-0.9410831331851438
54,9.921147013144777,-1.2533323356430437
55,9.876883405951377,-1.5643446504023104
56,9.822872507286887,-1.8738131458572482
57,9.759167619387474,-2.1814324139654255
58,9.68583161128631,-2.4868988716485485
59,9.60293685676943,-2.7899110603922934
60,9.510565162951535,-3.0901699437494754
61,9.408807689542254,-3.3873792024529155
62,9.297764858882514,-3.6812455268467796
63,9.177546256839811,-3.971478906347807
64,9.048270524660195,-4.257792915650727
65,8.910065241883679,-4.5399049973954675
66,8.763066800438635,-4.817536741017154
67,8.607420270039437,-5.090414157503713
68,8.44327925502015,-5.358267949789969
69,8.270805742745617,-5.620833778521307
70,8.090169943749475,-5.87785252292473
71,7.901550123756903,-6.129070536529766
72,7.705132427757892,-6.3742398974868975
73,7.501110696304593,-6.613118653236521
74,7.289686274214114,-6.845471059286887
75,7.0710678118654755,-7.071067811865475
76,6.845471059286885,-7.289686274214117
77,6.613118653236518,-7.501110696304595
78,6.374239897486895,-7.705132427757894
79,6.129070536529763,-7.901550123756904
80,5.877852522924733,-8.090169943749473
81,5.6208337785213045,-8.270805742745619
82,5.358267949789966,-8.443279255020151
83,5.0904141575037105,-8.607420270039437
84,4.817536741017152,-8.763066800438637
85,4.539904997395465,-8.91006524188368
86,4.257792915650725,-9.048270524660197
87,3.971478906347806,-9.177546256839811
88,3.6812455268467774,-9.297764858882514
89,3.3873792024529132,-9.408807689542254
